team,1,match 1,,2,match 2,,3,match 3,,4,match 4,,5,match 5,,6,match 6,,7,match 7,,8,match 8,,9,match 9,,10,match 10,,11,match 11,,12,match 12,,13,match 13,,14,match 14,,15,match 15
⚡Czech Riders👿,,U R A L,2160,,DT|BULGARIA,4737,,AllianceQc1⚜️,6246,,Melanż,9308,,PH1,10359,,Питер-style,12952,Czech Riders,🇳🇱Low||Lands🇧🇪,13378,,UNIÓN~H²,,,French Spirit³,,,,,,,,,,,,,,,,,,
🇦🇹 RATz 🇦🇹,,CZE🕊SVK,2208,,FiammeRuggenti,5865,,RoFriends2@23,9438,,UNIVERSE™²,11094,,Dutch Classics,14584,,💥PROBREAK💥,17576,$m RA Tz =,COIO3,19935,,MADE !N FORCE,,,E M P I R Ξ ³,,,,,,,,,,,,,,,,,,
🇬🇷CLIMBERS🇬🇷,,French Spirit²,2178,,UKRAINE!,4131,,SisuFinland 2,6130,,V-PowerLegends,8466,,The Coalition,10817,,MADE !N FORCE²,12792,,🍻Tercio&Pedal,,,French Spirit³,,,WATAHA POLAND!,,,,,,,,,,,,,,,,,,
🇳🇱Low||Lands🇧🇪,,Ñ&FRIENDS🌎,2663,,CANADA,6215,,SÜPREME,6830,,SisuFinland,10109,,Discord,11464,,French Spirit¹,13618,ses | OW||Lands,⚡Czech Riders👿,17711,,AllianceQc1⚜️,,,Swedish Power,,,,,,,,,,,,,,,,,,
🍺PiWEX,,SGE & JM,2239,,LEGIONE 🔵,4487,,V-PowerLegends,7034,,Elite Squad,9342,,ISATIS,11213,,SisuFinland 2,14677,к PIWEX,Arab Elite™¹,16887,,🍻Tercio&Pedal,,,MADE !N FORCE²,,,,,,,,,,,,,,,,,,
🍻Tercio&Pedal,,Made in Italy🤌,1213,,SisuFinland 2,3658,,LEGIONE 🔵,5152,,MADE !N FORCE²,6988,,Elite Squad,8923,,V-PowerLegends,11272,"""= Tercio&Pedal",🇬🇷CLIMBERS🇬🇷,14070,,🍺PiWEX,,,AllianceQc1⚜️,,,,,,,,,,,,,,,,,,
💥PROBREAK💥,,HULI - ГАНЫ👿,4358,,MADE !N FORCE,5476,,STORMO IT IGN,7865,,Dutch Classics,10622,,UNIVERSE™²,12291,,🇦🇹 RATz 🇦🇹,13822,PROBREAK,3ЕМЛЯКИ,16270,,E M P I R Ξ ³,,,Only Fans,,,,,,,,,,,,,,,,,,
🦈 Sharks,,ROMANIA,2405,,BLACKLIST#1,4426,,UKRAINE!,7477,,BG DREAM TEAM 🥇,10184,,LEGIONE 🔵,13252,,UNIVERSE™²,16703,“= Sharks,PLN Reborn,17536,,Made in Italy🤌,,,COIO3,,,,,,,,,,,,,,,,,,
3ЕМЛЯКИ,,UNIVERSE™,1014,,SN Clan🇧🇷,2586,,TEAM LATINOS,5248,,Orient Paka,7677,,STORMO IT IGN,9571,,ProjektMasakra,12166,"""ЗЕМЛЯКИ",💥PROBREAK💥,14241,,Only Fans,,,Russian Hearts,,,,,,,,,,,,,,,,,,
AllianceQc1⚜️,,EC~Huckleberry,2273,,STORMO 🌟,3435,,⚡Czech Riders👿,6445,,S R B I J A,7797,,French Spirit³,10981,,Elite Squad,13768,,T R Λ X I O N,,,🇳🇱Low||Lands🇧🇪,,,🍻Tercio&Pedal,,,,,,,,,,,,,,,,,,
Arab Elite™¹,,Elite Squad,2456,,ISATIS,4847,,PLN Reborn,5498,,SGE & JM,7550,,MADE !N FORCE²,10463,,JEDI PHÉNIX,12270,ArabElite™1,🍺PiWEX,14577,,LEGIONE 🔵,,,Project GER,,,,,,,,,,,,,,,,,,
Arab United™1,,Project GER²,1720,,from Ukraine,5256,,NORDLYS™,7319,,Russian Hearts,10742,,СiЧ🎗UA,12821,,Mut@nti,16075,‘Arab United ™1,sAUSNZges,18607,,PORTUGAL,,,Project GER³,,,,,,,,,,,,,,,,,,
Arab United™2,,M@ncos Latinos,2164,,GR. WARRIORS¹,4315,,LVIžerouPRVNI,7906,,Chaos Hackis 1,10769,,IRAN°,12104,,Team-Rullz MK,14212,‘Arab United ™2,Only Fans,16408,,ARGENTINA🇦🇷,,,Usual*Suspects,,,,,,,,,,,,,,,,,,
ARGENTINA🇦🇷,,MADE !N FORCE,895,,HULI - ГАНЫ👿,5167,,Dutch Classics,7395,,RoFriends2@23,9583,,FiammeRuggenti,11811,,WATAHA POLAND!,13791,ARGENTINA ==,V-PowerLegends,16063,,Arab United™2,,,STORMO IT IGN,,,,,,,,,,,,,,,,,,
B A W💥W N A,,STORMO IT IGN,3626,,ProjektMasakra,7353,,UNIVERSE™,9521,,SN Clan🇧🇷,12603,,MADE !N FORCE,15176,,ROMANIA,19016,BAW WNA,Made in Italy🤌,21699,,E M P I R Ξ,,,E M P I R Ξ ²,,,,,,,,,,,,,,,,,,
B R A Z I L🇧🇷¹,,LVIžerouPRVNI,3938,,IRAN°,5839,,Team-Rullz MK,9187,,M@ncos Latinos,12067,,EliteRacingInc,13940,,TÜRKIYE 🇹🇷,16858,BRAZIL,E M P I R Ξ ²,18489,,Project GER²,,,UN1TED HUNGARY,,,,,,,,,,,,,,,,,,
BG DREAM TEAM 🥇,,FiammeRuggenti,3193,,CZE🕊SVK,6041,,COIO3,7948,,🦈 Sharks,9759,,GwardiaDzików,13082,,E M P I R Ξ ³,15359,ВС|ОВЕАМ TEAM,UNIVERSE™²,18417,,BLACKLIST#1,,,ROMANIA,,,,,,,,,,,,,,,,,,
BLACKLIST#1,,WATAHA POLAND!,3596,,🦈 Sharks,6094,,French Spirit²,9801,,COIO3,12587,,PLN Reborn,13810,,Made in Italy🤌,15741,BLACKLIST #1,SGE & JM,19161,,BG DREAM TEAM 🥇,,,MADE !N FORCE,,,,,,,,,,,,,,,,,,
CANADA,,Czech ESSA,2926,,🇳🇱Low||Lands🇧🇪,3898,,SisuFinland,5845,,Ñ&FRIENDS🌎,7132,,UNIÓN~H²,9729,,Project GER³,11990,CANADA,СiЧ🎗UA,14348,,Swedish Power,,,Discord²,,,,,,,,,,,,,,,,,,
Chaos Hackis 1,,IRAN°,839,,LVIžerouPRVNI,3517,,M@ncos Latinos,4658,,Arab United™2,6312,,Russian Hearts,8438,,TEAM LATINOS,10789,Chaos Hackis 1,CubanSUGΔ®🇨🇺,13162,,GR. WARRIORS¹,,,NORDLYS™,,,,,,,,,,,,,,,,,,
COIO3,,The Coalition,3825,,E M P I R Ξ ³,6205,,BG DREAM TEAM 🥇,8818,,BLACKLIST#1,10553,,ROMANIA,12493,,French Spirit²,15132,C0103,🇦🇹 RATz 🇦🇹,17296,,Dutch Classics,,,🦈 Sharks,,,,,,,,,,,,,,,,,,
CubanSUGΔ®🇨🇺,,sAUSNZges,1459,,NORDLYS™,2813,,Russian Hearts,5023,,LVIžerouPRVNI,7247,,HULI - ГАНЫ👿,11589,,Usual*Suspects,15889,CubanSUGA® =,Chaos Hackis 1,18039,,Swedish Power⁴,,,Питер-style,,,,,,,,,,,,,,,,,,
CZE🕊SVK,,🇦🇹 RATz 🇦🇹,2310,,BG DREAM TEAM 🥇,3978,,GwardiaDzików,6495,,ROMANIA,8667,,RoFriends2@23,11790,,MADE !N FORCE,12605,'CZE “SVK,HRVATSKA,14496,,ProjektMasakra,,,UNIVERSE™²,,,,,,,,,,,,,,,,,,
Czech ESSA,,CANADA,1596,,Ñ&FRIENDS🌎,2603,,Mut@nti,5431,,Ghost👻Drivers®,7466,,Discord²,9161,,from Ukraine,12266,"""Czech ESSA Ἢ",Project GER³,13434,,Питер-style,,,Swedish Power⁴,,,,,,,,,,,,,,,,,,
Discord,,Discord²,4081,,SÜPREME,6150,,Ñ&FRIENDS🌎,10064,,French Spirit¹,13565,,🇳🇱Low||Lands🇧🇪,16731,,Swedish Power,20743,Discord,Project GER,24399,,UNIVERSE™,,,E M P I R Ξ,,,,,,,,,,,,,,,,,,
Discord²,,Discord,428,,French Spirit¹,1300,,UNIÓN~H²,3835,,T R Λ X I O N,5111,,Czech ESSA,7933,,Ñ&FRIENDS🌎,9024,,Mut@nti,,,U R A L,,,CANADA,,,,,,,,,,,,,,,,,,
